id,regional_center,office_type,address,suite,city,state,zip_code,telephone,website,county_served,los_angeles_health_district,location_coordinates,latitude,longitude
124,Inland Regional Center,Mailing,P.O. Box 19037,,San Bernardino,CA,92423,(909) 890-3000,www.inlandrc.org,,,"P.O. Box 19037
San Bernardino 92423
",,
125,Far Northern Regional Center,Main,1900 Churn Creek Road,Ste. 319,Redding,CA,96002,(530) 222-4791,www.farnorthernrc.org,Trinity,,"1900 Churn Creek Road
Redding 96002
(40.579248, -122.354053)",40.579248,-122.354053
126,Alta California Regional Center,Main,2241 Harvard Street,Ste. 100,Sacramento,CA,95815,(916) 978-6400,www.altraregional.org,Sierra,,"2241 Harvard Street
Sacramento 95815
(38.606023, -121.437173)",38.606023,-121.437173
127,Far Northern Regional Center,Main,1900 Churn Creek Road,Ste. 319,Redding,CA,96002,(530) 222-4791,www.farnorthernrc.org,Glenn,,"1900 Churn Creek Road
Redding 96002
(40.579248, -122.354053)",40.579248,-122.354053
128,Kern Regional Center,Main,3200 North Sillect Avenue,,Bakersfield,CA,93308,(661) 327-8531,www.kernrc.org,Inyo,,"3200 North Sillect Avenue
Bakersfield 93308
",,
129,Kern Regional Center,Field,459 West Line Street,,Bishop,CA,93514,(760) 873-7411,www.kernrc.org,,,"459 West Line Street
Bishop 93514
(37.361362, -118.398834)",37.361362,-118.398834
130,Far Northern Regional Center,Main,1900 Churn Creek Road,Ste. 319,Redding,CA,96002,(530) 222-4791,www.farnorthernrc.org,Tehama,,"1900 Churn Creek Road
Redding 96002
(40.579248, -122.354053)",40.579248,-122.354053
131,Kern Regional Center,Field,7707 Panama Road,,Lamont,CA,93241,(661) 845-2286,www.kernrc.org,,,"7707 Panama Road
Lamont 93241
(35.266974, -118.919632)",35.266974,-118.919632
132,Alta California Regional Center,Field,1620 Santa Clara Drive,Ste. 100,Roseville,CA,95661,(916) 786-8110,www.altraregional.org,,,"1620 Santa Clara Drive
Roseville 95661
(38.742394, -121.262109)",38.742394,-121.262109
133,Frank D. Lanterman Regional Center,Main,3303 Wilshire Blvd.,Ste. 700,Los Angeles,CA,90010,(213) 383-1300,www.lanterman.org,Los Angeles,Pasadena,"3303 Wilshire Blvd.
Los Angeles 90010
(34.061772, -118.294495)",34.061772,-118.294495
134,Regional Center of the East Bay,Main,500 Davis Street,Ste. 100,San Leandro,CA,94577,(510) 618-6100,www.rceb.org,Alameda,,"500 Davis Street
San Leandro 94577
(37.724223, -122.160823)",37.724223,-122.160823
135,Central Valley Regional Center,Main,4615 North Marty Avenue,,Fresno,CA,93722,(559) 276-4300,www.cvrc.org,Mariposa,,"4615 North Marty Avenue
Fresno 93722
(36.805246, -119.858062)",36.805246,-119.858062
